ID,Sentence 1,Sentence 2,Manual Similarity
311,நாய் தன்னுடைய இரையை வாயில் வைத்திருக்கின்றது,புல்வெளியில் நாய் விளையாடிக் கொண்டு இருக்கிறது.,0
312,நாய் தன்னுடைய இரையை வாயில் வைத்திருக்கின்றது,நாய் வாயில் கிளை ஒன்றை காவிய வண்ணம் உள்ளது,1
313,நாய் தன்னுடைய இரையை வாயில் வைத்திருக்கின்றது,நாய்க்குட்டி ஏதையோ களவாடி வந்து மகிழ்ச்சியாக விளையாடுகிறது.,0
314,நாய் தன்னுடைய இரையை வாயில் வைத்திருக்கின்றது,நாய் புல்லில் விளையாடுகிறது.,0
315,நாய் ஒன்று புல்வெளியில் விளையாடுகின்றது,புல்வெளியில் நாய் விளையாடிக் கொண்டு இருக்கிறது.,5
316,நாய் ஒன்று புல்வெளியில் விளையாடுகின்றது,நாய் வாயில் கிளை ஒன்றை காவிய வண்ணம் உள்ளது,2
317,நாய் ஒன்று புல்வெளியில் விளையாடுகின்றது,நாய்க்குட்டி ஏதையோ களவாடி வந்து மகிழ்ச்சியாக விளையாடுகிறது.,2
318,நாய் ஒன்று புல்வெளியில் விளையாடுகின்றது,நாய் புல்லில் விளையாடுகிறது.,5
319,புல்வெளியில் நாய் விளையாடிக் கொண்டு இருக்கிறது.,நாய் வாயில் கிளை ஒன்றை காவிய வண்ணம் உள்ளது,2
320,புல்வெளியில் நாய் விளையாடிக் கொண்டு இருக்கிறது.,நாய்க்குட்டி ஏதையோ களவாடி வந்து மகிழ்ச்சியாக விளையாடுகிறது.,1.333333333
321,புல்வெளியில் நாய் விளையாடிக் கொண்டு இருக்கிறது.,நாய் புல்லில் விளையாடுகிறது.,4.333333333
322,நாய் வாயில் கிளை ஒன்றை காவிய வண்ணம் உள்ளது,நாய்க்குட்டி ஏதையோ களவாடி வந்து மகிழ்ச்சியாக விளையாடுகிறது.,2
323,நாய் வாயில் கிளை ஒன்றை காவிய வண்ணம் உள்ளது,நாய் புல்லில் விளையாடுகிறது.,0
324,நாய்க்குட்டி ஏதையோ களவாடி வந்து மகிழ்ச்சியாக விளையாடுகிறது.,நாய் புல்லில் விளையாடுகிறது.,1.666666667
325,பாடகர் ஒருவர் பாடுகிறார்,ஒரு நபர் நன்றாக பாட்டு பாடுகின்றார்,5
326,பாடகர் ஒருவர் பாடுகிறார்,ஒருவர் பாடல் பாடுகிறார்,4
327,பாடகர் ஒருவர் பாடுகிறார்,ஒருவர் தன்னை மெய்மறந்து பாடிக் கொண்டிருக்கின்றார்.,1.666666667
328,பாடகர் ஒருவர் பாடுகிறார்,நபர் ஒருவர் பாட்டு பாடுகின்றார்,3
329,பாடகர் ஒருவர் பாடுகிறார்,ஒருவர் பாடிக்கொண்டிருக்கிறார்.,3
330,பாடகர் ஒருவர் பாடுகிறார்,பையன் ஒருவன் ஒலி பெருக்கி ஊடாக பாடிய வண்ணம் உள்ளான்,2
331,பாடகர் ஒருவர் பாடுகிறார்,மின் ஒளியில் தனது இசையால் மேடையை அலங்கரித்துக் கொண்டுள்ளான்.,2
332,பாடகர் ஒருவர் பாடுகிறார்,ஒருவர் பாடுகின்றார்.,1
333,ஒரு நபர் நன்றாக பாட்டு பாடுகின்றார்,ஒருவர் பாடல் பாடுகிறார்,4
334,ஒரு நபர் நன்றாக பாட்டு பாடுகின்றார்,ஒருவர் தன்னை மெய்மறந்து பாடிக் கொண்டிருக்கின்றார்.,4
335,ஒரு நபர் நன்றாக பாட்டு பாடுகின்றார்,நபர் ஒருவர் பாட்டு பாடுகின்றார்,3
336,ஒரு நபர் நன்றாக பாட்டு பாடுகின்றார்,ஒருவர் பாடிக்கொண்டிருக்கிறார்.,3
337,ஒரு நபர் நன்றாக பாட்டு பாடுகின்றார்,பையன் ஒருவன் ஒலி பெருக்கி ஊடாக பாடிய வண்ணம் உள்ளான்,2
338,ஒரு நபர் நன்றாக பாட்டு பாடுகின்றார்,மின் ஒளியில் தனது இசையால் மேடையை அலங்கரித்துக் கொண்டுள்ளான்.,2
339,ஒரு நபர் நன்றாக பாட்டு பாடுகின்றார்,ஒருவர் பாடுகின்றார்.,4
340,ஒருவர் பாடல் பாடுகிறார்,ஒருவர் தன்னை மெய்மறந்து பாடிக் கொண்டிருக்கின்றார்.,3
341,ஒருவர் பாடல் பாடுகிறார்,நபர் ஒருவர் பாட்டு பாடுகின்றார்,5
342,ஒருவர் பாடல் பாடுகிறார்,ஒருவர் பாடிக்கொண்டிருக்கிறார்.,5
343,ஒருவர் பாடல் பாடுகிறார்,பையன் ஒருவன் ஒலி பெருக்கி ஊடாக பாடிய வண்ணம் உள்ளான்,2
344,ஒருவர் பாடல் பாடுகிறார்,மின் ஒளியில் தனது இசையால் மேடையை அலங்கரித்துக் கொண்டுள்ளான்.,1
345,ஒருவர் பாடல் பாடுகிறார்,ஒருவர் பாடுகின்றார்.,5
346,ஒருவர் தன்னை மெய்மறந்து பாடிக் கொண்டிருக்கின்றார்.,நபர் ஒருவர் பாட்டு பாடுகின்றார்,1
347,ஒருவர் தன்னை மெய்மறந்து பாடிக் கொண்டிருக்கின்றார்.,ஒருவர் பாடிக்கொண்டிருக்கிறார்.,2.333333333
348,ஒருவர் தன்னை மெய்மறந்து பாடிக் கொண்டிருக்கின்றார்.,பையன் ஒருவன் ஒலி பெருக்கி ஊடாக பாடிய வண்ணம் உள்ளான்,2
349,ஒருவர் தன்னை மெய்மறந்து பாடிக் கொண்டிருக்கின்றார்.,மின் ஒளியில் தனது இசையால் மேடையை அலங்கரித்துக் கொண்டுள்ளான்.,1
350,ஒருவர் தன்னை மெய்மறந்து பாடிக் கொண்டிருக்கின்றார்.,ஒருவர் பாடுகின்றார்.,3
351,நபர் ஒருவர் பாட்டு பாடுகின்றார்,ஒருவர் பாடிக்கொண்டிருக்கிறார்.,5
352,நபர் ஒருவர் பாட்டு பாடுகின்றார்,பையன் ஒருவன் ஒலி பெருக்கி ஊடாக பாடிய வண்ணம் உள்ளான்,3
353,நபர் ஒருவர் பாட்டு பாடுகின்றார்,மின் ஒளியில் தனது இசையால் மேடையை அலங்கரித்துக் கொண்டுள்ளான்.,3
354,நபர் ஒருவர் பாட்டு பாடுகின்றார்,ஒருவர் பாடுகின்றார்.,5
355,ஒருவர் பாடிக்கொண்டிருக்கிறார்.,பையன் ஒருவன் ஒலி பெருக்கி ஊடாக பாடிய வண்ணம் உள்ளான்,3
356,ஒருவர் பாடிக்கொண்டிருக்கிறார்.,மின் ஒளியில் தனது இசையால் மேடையை அலங்கரித்துக் கொண்டுள்ளான்.,3
357,ஒருவர் பாடிக்கொண்டிருக்கிறார்.,ஒருவர் பாடுகின்றார்.,5
358,பையன் ஒருவன் ஒலி பெருக்கி ஊடாக பாடிய வண்ணம் உள்ளான்,மின் ஒளியில் தனது இசையால் மேடையை அலங்கரித்துக் கொண்டுள்ளான்.,2
359,பையன் ஒருவன் ஒலி பெருக்கி ஊடாக பாடிய வண்ணம் உள்ளான்,ஒருவர் பாடுகின்றார்.,3
360,மின் ஒளியில் தனது இசையால் மேடையை அலங்கரித்துக் கொண்டுள்ளான்.,ஒருவர் பாடுகின்றார்.,3
361,ஒருவர் மற்றவர் கையில் இருந்து பின் நோக்கி பாய முயல்கிறார்,ஒரு நபர் இன்னொரு நபரது கையில் இருந்து துள்ளி குதிக்கின்றார்,4
362,ஒருவர் மற்றவர் கையில் இருந்து பின் நோக்கி பாய முயல்கிறார்,ஒருவர் ஜிம்னாஸ்டிக்ஸ் செய்கின்றார்,3
363,ஒருவர் மற்றவர் கையில் இருந்து பின் நோக்கி பாய முயல்கிறார்,ஒருகால் ஒருவரின் கையில் உள்ளவாறு அவர் சமநிலையில் நிற்கின்றார்.,0
364,ஒருவர் மற்றவர் கையில் இருந்து பின் நோக்கி பாய முயல்கிறார்,ஆண் ஒருவர் பின்புறமாக பாய்கின்றார்,3
365,ஒருவர் மற்றவர் கையில் இருந்து பின் நோக்கி பாய முயல்கிறார்,தலைகீழாக ஒருவர் குதிக்க முற்படுகிறார்.,0
366,ஒருவர் மற்றவர் கையில் இருந்து பின் நோக்கி பாய முயல்கிறார்,பையன் ஒருவனின் காலை ஒருவர் பிடிக்க அவன் அண்ணார்ந்து நோக்கி கொண்டு உள்ளான்,0
367,ஒருவர் மற்றவர் கையில் இருந்து பின் நோக்கி பாய முயல்கிறார்,பக்க பலத்துடன் சாதிக்க துடிக்கிறார்.,2
368,ஒருவர் மற்றவர் கையில் இருந்து பின் நோக்கி பாய முயல்கிறார்,ஒருவர் மற்றவர் உதவியுடன் தலைகீழ் ஆக பாய்கிறார்.,1
369,ஒரு நபர் இன்னொரு நபரது கையில் இருந்து துள்ளி குதிக்கின்றார்,ஒருவர் ஜிம்னாஸ்டிக்ஸ் செய்கின்றார்,2
370,ஒரு நபர் இன்னொரு நபரது கையில் இருந்து துள்ளி குதிக்கின்றார்,ஒருகால் ஒருவரின் கையில் உள்ளவாறு அவர் சமநிலையில் நிற்கின்றார்.,0
371,ஒரு நபர் இன்னொரு நபரது கையில் இருந்து துள்ளி குதிக்கின்றார்,ஆண் ஒருவர் பின்புறமாக பாய்கின்றார்,2
372,ஒரு நபர் இன்னொரு நபரது கையில் இருந்து துள்ளி குதிக்கின்றார்,தலைகீழாக ஒருவர் குதிக்க முற்படுகிறார்.,0
373,ஒரு நபர் இன்னொரு நபரது கையில் இருந்து துள்ளி குதிக்கின்றார்,பையன் ஒருவனின் காலை ஒருவர் பிடிக்க அவன் அண்ணார்ந்து நோக்கி கொண்டு உள்ளான்,0
374,ஒரு நபர் இன்னொரு நபரது கையில் இருந்து துள்ளி குதிக்கின்றார்,பக்க பலத்துடன் சாதிக்க துடிக்கிறார்.,2
375,ஒரு நபர் இன்னொரு நபரது கையில் இருந்து துள்ளி குதிக்கின்றார்,ஒருவர் மற்றவர் உதவியுடன் தலைகீழ் ஆக பாய்கிறார்.,1
376,ஒருவர் ஜிம்னாஸ்டிக்ஸ் செய்கின்றார்,ஒருகால் ஒருவரின் கையில் உள்ளவாறு அவர் சமநிலையில் நிற்கின்றார்.,2
377,ஒருவர் ஜிம்னாஸ்டிக்ஸ் செய்கின்றார்,ஆண் ஒருவர் பின்புறமாக பாய்கின்றார்,2
378,ஒருவர் ஜிம்னாஸ்டிக்ஸ் செய்கின்றார்,தலைகீழாக ஒருவர் குதிக்க முற்படுகிறார்.,0
379,ஒருவர் ஜிம்னாஸ்டிக்ஸ் செய்கின்றார்,பையன் ஒருவனின் காலை ஒருவர் பிடிக்க அவன் அண்ணார்ந்து நோக்கி கொண்டு உள்ளான்,2
380,ஒருவர் ஜிம்னாஸ்டிக்ஸ் செய்கின்றார்,பக்க பலத்துடன் சாதிக்க துடிக்கிறார்.,2
381,ஒருவர் ஜிம்னாஸ்டிக்ஸ் செய்கின்றார்,ஒருவர் மற்றவர் உதவியுடன் தலைகீழ் ஆக பாய்கிறார்.,3
382,ஒருகால் ஒருவரின் கையில் உள்ளவாறு அவர் சமநிலையில் நிற்கின்றார்.,ஆண் ஒருவர் பின்புறமாக பாய்கின்றார்,2
383,ஒருகால் ஒருவரின் கையில் உள்ளவாறு அவர் சமநிலையில் நிற்கின்றார்.,தலைகீழாக ஒருவர் குதிக்க முற்படுகிறார்.,2
384,ஒருகால் ஒருவரின் கையில் உள்ளவாறு அவர் சமநிலையில் நிற்கின்றார்.,பையன் ஒருவனின் காலை ஒருவர் பிடிக்க அவன் அண்ணார்ந்து நோக்கி கொண்டு உள்ளான்,3
385,ஒருகால் ஒருவரின் கையில் உள்ளவாறு அவர் சமநிலையில் நிற்கின்றார்.,பக்க பலத்துடன் சாதிக்க துடிக்கிறார்.,2
386,ஒருகால் ஒருவரின் கையில் உள்ளவாறு அவர் சமநிலையில் நிற்கின்றார்.,ஒருவர் மற்றவர் உதவியுடன் தலைகீழ் ஆக பாய்கிறார்.,0
387,ஆண் ஒருவர் பின்புறமாக பாய்கின்றார்,தலைகீழாக ஒருவர் குதிக்க முற்படுகிறார்.,1
388,ஆண் ஒருவர் பின்புறமாக பாய்கின்றார்,பையன் ஒருவனின் காலை ஒருவர் பிடிக்க அவன் அண்ணார்ந்து நோக்கி கொண்டு உள்ளான்,0
389,ஆண் ஒருவர் பின்புறமாக பாய்கின்றார்,பக்க பலத்துடன் சாதிக்க துடிக்கிறார்.,0
390,ஆண் ஒருவர் பின்புறமாக பாய்கின்றார்,ஒருவர் மற்றவர் உதவியுடன் தலைகீழ் ஆக பாய்கிறார்.,1
391,தலைகீழாக ஒருவர் குதிக்க முற்படுகிறார்.,பையன் ஒருவனின் காலை ஒருவர் பிடிக்க அவன் அண்ணார்ந்து நோக்கி கொண்டு உள்ளான்,0
392,தலைகீழாக ஒருவர் குதிக்க முற்படுகிறார்.,பக்க பலத்துடன் சாதிக்க துடிக்கிறார்.,2
393,தலைகீழாக ஒருவர் குதிக்க முற்படுகிறார்.,ஒருவர் மற்றவர் உதவியுடன் தலைகீழ் ஆக பாய்கிறார்.,4
394,பையன் ஒருவனின் காலை ஒருவர் பிடிக்க அவன் அண்ணார்ந்து நோக்கி கொண்டு உள்ளான்,பக்க பலத்துடன் சாதிக்க துடிக்கிறார்.,0
395,பையன் ஒருவனின் காலை ஒருவர் பிடிக்க அவன் அண்ணார்ந்து நோக்கி கொண்டு உள்ளான்,ஒருவர் மற்றவர் உதவியுடன் தலைகீழ் ஆக பாய்கிறார்.,0
396,பக்க பலத்துடன் சாதிக்க துடிக்கிறார்.,ஒருவர் மற்றவர் உதவியுடன் தலைகீழ் ஆக பாய்கிறார்.,2
397,ஒருவர் மதில் மேல் சைக்கிள் ஓடுகிறார்,ஒரு நபர் சைக்கிளால் சுவரை தாண்டுகிறார்,0
398,ஒருவர் மதில் மேல் சைக்கிள் ஓடுகிறார்,ஒருவர் ஸ்கேட்டிங் செய்கின்றார்,0
399,ஒருவர் மதில் மேல் சைக்கிள் ஓடுகிறார்,ஒருவர் துவிச்சக்கர வண்டியில் சாகசம் நிகழ்த்துகின்றார்.,1
400,ஒருவர் மதில் மேல் சைக்கிள் ஓடுகிறார்,ஈருருளியுடன் மதில் தாண்டிப் பாய்கின்றார்,2.666666667
401,ஒருவர் மதில் மேல் சைக்கிள் ஓடுகிறார்,வீரன் மதில்சுவரை சைக்கிளால் கடக்கின்றான்.,4
402,ஒருவர் மதில் மேல் சைக்கிள் ஓடுகிறார்,மிதி வண்டி உடன் சுவரை ஒருவர் கடக்கின்றார்,2
403,ஒருவர் மதில் மேல் சைக்கிள் ஓடுகிறார்,உச்சி வெய்யிலில் சைக்கிளுடன் சிறுவன் மதில் பாய்கிறான்.,0
404,ஒருவர் மதில் மேல் சைக்கிள் ஓடுகிறார்,ஒருவர் சாகசம் செய்கின்றார்.,3
405,ஒரு நபர் சைக்கிளால் சுவரை தாண்டுகிறார்,ஒருவர் ஸ்கேட்டிங் செய்கின்றார்,0
406,ஒரு நபர் சைக்கிளால் சுவரை தாண்டுகிறார்,ஒருவர் துவிச்சக்கர வண்டியில் சாகசம் நிகழ்த்துகின்றார்.,3
407,ஒரு நபர் சைக்கிளால் சுவரை தாண்டுகிறார்,ஈருருளியுடன் மதில் தாண்டிப் பாய்கின்றார்,4
408,ஒரு நபர் சைக்கிளால் சுவரை தாண்டுகிறார்,வீரன் மதில்சுவரை சைக்கிளால் கடக்கின்றான்.,5
409,ஒரு நபர் சைக்கிளால் சுவரை தாண்டுகிறார்,மிதி வண்டி உடன் சுவரை ஒருவர் கடக்கின்றார்,5
410,ஒரு நபர் சைக்கிளால் சுவரை தாண்டுகிறார்,உச்சி வெய்யிலில் சைக்கிளுடன் சிறுவன் மதில் பாய்கிறான்.,4
411,ஒரு நபர் சைக்கிளால் சுவரை தாண்டுகிறார்,ஒருவர் சாகசம் செய்கின்றார்.,3
412,ஒருவர் ஸ்கேட்டிங் செய்கின்றார்,ஒருவர் துவிச்சக்கர வண்டியில் சாகசம் நிகழ்த்துகின்றார்.,1
413,ஒருவர் ஸ்கேட்டிங் செய்கின்றார்,ஈருருளியுடன் மதில் தாண்டிப் பாய்கின்றார்,0
414,ஒருவர் ஸ்கேட்டிங் செய்கின்றார்,வீரன் மதில்சுவரை சைக்கிளால் கடக்கின்றான்.,0
415,ஒருவர் ஸ்கேட்டிங் செய்கின்றார்,மிதி வண்டி உடன் சுவரை ஒருவர் கடக்கின்றார்,0
416,ஒருவர் ஸ்கேட்டிங் செய்கின்றார்,உச்சி வெய்யிலில் சைக்கிளுடன் சிறுவன் மதில் பாய்கிறான்.,0
417,ஒருவர் ஸ்கேட்டிங் செய்கின்றார்,ஒருவர் சாகசம் செய்கின்றார்.,1
418,ஒருவர் துவிச்சக்கர வண்டியில் சாகசம் நிகழ்த்துகின்றார்.,ஈருருளியுடன் மதில் தாண்டிப் பாய்கின்றார்,3
419,ஒருவர் துவிச்சக்கர வண்டியில் சாகசம் நிகழ்த்துகின்றார்.,வீரன் மதில்சுவரை சைக்கிளால் கடக்கின்றான்.,4
420,ஒருவர் துவிச்சக்கர வண்டியில் சாகசம் நிகழ்த்துகின்றார்.,மிதி வண்டி உடன் சுவரை ஒருவர் கடக்கின்றார்,3
421,ஒருவர் துவிச்சக்கர வண்டியில் சாகசம் நிகழ்த்துகின்றார்.,உச்சி வெய்யிலில் சைக்கிளுடன் சிறுவன் மதில் பாய்கிறான்.,2
422,ஒருவர் துவிச்சக்கர வண்டியில் சாகசம் நிகழ்த்துகின்றார்.,ஒருவர் சாகசம் செய்கின்றார்.,1
423,ஈருருளியுடன் மதில் தாண்டிப் பாய்கின்றார்,வீரன் மதில்சுவரை சைக்கிளால் கடக்கின்றான்.,4
424,ஈருருளியுடன் மதில் தாண்டிப் பாய்கின்றார்,மிதி வண்டி உடன் சுவரை ஒருவர் கடக்கின்றார்,5
425,ஈருருளியுடன் மதில் தாண்டிப் பாய்கின்றார்,உச்சி வெய்யிலில் சைக்கிளுடன் சிறுவன் மதில் பாய்கிறான்.,4
426,ஈருருளியுடன் மதில் தாண்டிப் பாய்கின்றார்,ஒருவர் சாகசம் செய்கின்றார்.,3
427,வீரன் மதில்சுவரை சைக்கிளால் கடக்கின்றான்.,மிதி வண்டி உடன் சுவரை ஒருவர் கடக்கின்றார்,3.333333333
428,வீரன் மதில்சுவரை சைக்கிளால் கடக்கின்றான்.,உச்சி வெய்யிலில் சைக்கிளுடன் சிறுவன் மதில் பாய்கிறான்.,1
429,வீரன் மதில்சுவரை சைக்கிளால் கடக்கின்றான்.,ஒருவர் சாகசம் செய்கின்றார்.,2
430,மிதி வண்டி உடன் சுவரை ஒருவர் கடக்கின்றார்,உச்சி வெய்யிலில் சைக்கிளுடன் சிறுவன் மதில் பாய்கிறான்.,1
431,மிதி வண்டி உடன் சுவரை ஒருவர் கடக்கின்றார்,ஒருவர் சாகசம் செய்கின்றார்.,3
432,உச்சி வெய்யிலில் சைக்கிளுடன் சிறுவன் மதில் பாய்கிறான்.,ஒருவர் சாகசம் செய்கின்றார்.,2
433,ரக்பி வீரர் சிறப்பாக விளையாடுகின்றனர்,உதைபந்தாடட போட்டியில் பந்தை வாங்குவதட்காக ஒருவரை ஒருவர் துரத்துகின்றனர்.,0
434,ரக்பி வீரர் சிறப்பாக விளையாடுகின்றனர்,இரு அணியினர் விளையாடுகின்றனர்,1
435,ரக்பி வீரர் சிறப்பாக விளையாடுகின்றனர்,பந்தைப் பெறுவதற்காக ஒரு வீரர் மற்றைய வீரரை பிடித்து இழுக்கின்றார்.,0
436,ரக்பி வீரர் சிறப்பாக விளையாடுகின்றனர்,பந்திற்காக எதிரணியினர் போராடுகின்றனர்,2
437,ரக்பி வீரர் சிறப்பாக விளையாடுகின்றனர்,பந்தை பெற வீரன் முயற்சி செய்கிறான்.,2
438,ரக்பி வீரர் சிறப்பாக விளையாடுகின்றனர்,றக்பி பந்துடன் ஓடும் ஒருவரை இன்னொருவர் தடுக்க முயல்கிறார்,3
439,ரக்பி வீரர் சிறப்பாக விளையாடுகின்றனர்,எதிர் அணியிடம் இருந்து சயோசிதமாக பந்தை கைப்பற்ற முயலுகிறார்.,3
440,ரக்பி வீரர் சிறப்பாக விளையாடுகின்றனர்,ஒருவரை மற்றவர் இழுக்கின்றார்.,2
441,உதைபந்தாடட போட்டியில் பந்தை வாங்குவதட்காக ஒருவரை ஒருவர் துரத்துகின்றனர்.,இரு அணியினர் விளையாடுகின்றனர்,1
442,உதைபந்தாடட போட்டியில் பந்தை வாங்குவதட்காக ஒருவரை ஒருவர் துரத்துகின்றனர்.,பந்தைப் பெறுவதற்காக ஒரு வீரர் மற்றைய வீரரை பிடித்து இழுக்கின்றார்.,2
443,உதைபந்தாடட போட்டியில் பந்தை வாங்குவதட்காக ஒருவரை ஒருவர் துரத்துகின்றனர்.,பந்திற்காக எதிரணியினர் போராடுகின்றனர்,4
444,உதைபந்தாடட போட்டியில் பந்தை வாங்குவதட்காக ஒருவரை ஒருவர் துரத்துகின்றனர்.,பந்தை பெற வீரன் முயற்சி செய்கிறான்.,4
445,உதைபந்தாடட போட்டியில் பந்தை வாங்குவதட்காக ஒருவரை ஒருவர் துரத்துகின்றனர்.,றக்பி பந்துடன் ஓடும் ஒருவரை இன்னொருவர் தடுக்க முயல்கிறார்,3
446,உதைபந்தாடட போட்டியில் பந்தை வாங்குவதட்காக ஒருவரை ஒருவர் துரத்துகின்றனர்.,எதிர் அணியிடம் இருந்து சயோசிதமாக பந்தை கைப்பற்ற முயலுகிறார்.,2.666666667
447,உதைபந்தாடட போட்டியில் பந்தை வாங்குவதட்காக ஒருவரை ஒருவர் துரத்துகின்றனர்.,ஒருவரை மற்றவர் இழுக்கின்றார்.,2
448,இரு அணியினர் விளையாடுகின்றனர்,பந்தைப் பெறுவதற்காக ஒரு வீரர் மற்றைய வீரரை பிடித்து இழுக்கின்றார்.,1.666666667
449,இரு அணியினர் விளையாடுகின்றனர்,பந்திற்காக எதிரணியினர் போராடுகின்றனர்,2.333333333
450,இரு அணியினர் விளையாடுகின்றனர்,பந்தை பெற வீரன் முயற்சி செய்கிறான்.,2
451,இரு அணியினர் விளையாடுகின்றனர்,றக்பி பந்துடன் ஓடும் ஒருவரை இன்னொருவர் தடுக்க முயல்கிறார்,2
452,இரு அணியினர் விளையாடுகின்றனர்,எதிர் அணியிடம் இருந்து சயோசிதமாக பந்தை கைப்பற்ற முயலுகிறார்.,2
453,இரு அணியினர் விளையாடுகின்றனர்,ஒருவரை மற்றவர் இழுக்கின்றார்.,0
454,பந்தைப் பெறுவதற்காக ஒரு வீரர் மற்றைய வீரரை பிடித்து இழுக்கின்றார்.,பந்திற்காக எதிரணியினர் போராடுகின்றனர்,3.666666667
455,பந்தைப் பெறுவதற்காக ஒரு வீரர் மற்றைய வீரரை பிடித்து இழுக்கின்றார்.,பந்தை பெற வீரன் முயற்சி செய்கிறான்.,5
456,பந்தைப் பெறுவதற்காக ஒரு வீரர் மற்றைய வீரரை பிடித்து இழுக்கின்றார்.,றக்பி பந்துடன் ஓடும் ஒருவரை இன்னொருவர் தடுக்க முயல்கிறார்,4
457,பந்தைப் பெறுவதற்காக ஒரு வீரர் மற்றைய வீரரை பிடித்து இழுக்கின்றார்.,எதிர் அணியிடம் இருந்து சயோசிதமாக பந்தை கைப்பற்ற முயலுகிறார்.,5
458,பந்தைப் பெறுவதற்காக ஒரு வீரர் மற்றைய வீரரை பிடித்து இழுக்கின்றார்.,ஒருவரை மற்றவர் இழுக்கின்றார்.,4
459,பந்திற்காக எதிரணியினர் போராடுகின்றனர்,பந்தை பெற வீரன் முயற்சி செய்கிறான்.,5
460,பந்திற்காக எதிரணியினர் போராடுகின்றனர்,றக்பி பந்துடன் ஓடும் ஒருவரை இன்னொருவர் தடுக்க முயல்கிறார்,5
461,பந்திற்காக எதிரணியினர் போராடுகின்றனர்,எதிர் அணியிடம் இருந்து சயோசிதமாக பந்தை கைப்பற்ற முயலுகிறார்.,4
462,பந்திற்காக எதிரணியினர் போராடுகின்றனர்,ஒருவரை மற்றவர் இழுக்கின்றார்.,4
463,பந்தை பெற வீரன் முயற்சி செய்கிறான்.,றக்பி பந்துடன் ஓடும் ஒருவரை இன்னொருவர் தடுக்க முயல்கிறார்,3
464,பந்தை பெற வீரன் முயற்சி செய்கிறான்.,எதிர் அணியிடம் இருந்து சயோசிதமாக பந்தை கைப்பற்ற முயலுகிறார்.,3.333333333
465,பந்தை பெற வீரன் முயற்சி செய்கிறான்.,ஒருவரை மற்றவர் இழுக்கின்றார்.,3.666666667
466,றக்பி பந்துடன் ஓடும் ஒருவரை இன்னொருவர் தடுக்க முயல்கிறார்,எதிர் அணியிடம் இருந்து சயோசிதமாக பந்தை கைப்பற்ற முயலுகிறார்.,5
467,றக்பி பந்துடன் ஓடும் ஒருவரை இன்னொருவர் தடுக்க முயல்கிறார்,ஒருவரை மற்றவர் இழுக்கின்றார்.,3.666666667
468,எதிர் அணியிடம் இருந்து சயோசிதமாக பந்தை கைப்பற்ற முயலுகிறார்.,ஒருவரை மற்றவர் இழுக்கின்றார்.,5
469,டாபின்கள் சாகசம் புரிகின்றன,டொழுபின்கள் நீரில் நீந்துவதை மக்கள் பார்த்து ரசிக்கின்றனர்,3
470,டாபின்கள் சாகசம் புரிகின்றன,டொல்பின்கள் துள்ளுகின்றன,2
471,டாபின்கள் சாகசம் புரிகின்றன,டொல்பின்கள் நீரில் துள்ளிக் குதித்து விளையாடுவதை மக்கள் வேடிக்கை பார்த்துக் கொண்டிருக்கின்றனர்.,5
472,டாபின்கள் சாகசம் புரிகின்றன,மீன்களின் சாகசத்தை மக்கள் பார்வையிடுகின்றனர்,5
473,டாபின்கள் சாகசம் புரிகின்றன,நீரில் திமிங்கலங்கள் சாகசம் புரிகின்றன.,0
474,டாபின்கள் சாகசம் புரிகின்றன,டொல்பின் குதிப்பதை பார்வையாளர் காண்கின்றனர்,4
475,டாபின்கள் சாகசம் புரிகின்றன,டொல்பின் இன் செல்ல விளையாட்டுக்களை மக்கள் ரசிக்கிறார்கள்.,3
476,டாபின்கள் சாகசம் புரிகின்றன,நீர் சாகத்தை பலர் காண்கின்றனர்.,2
477,டொழுபின்கள் நீரில் நீந்துவதை மக்கள் பார்த்து ரசிக்கின்றனர்,டொல்பின்கள் துள்ளுகின்றன,4
478,டொழுபின்கள் நீரில் நீந்துவதை மக்கள் பார்த்து ரசிக்கின்றனர்,டொல்பின்கள் நீரில் துள்ளிக் குதித்து விளையாடுவதை மக்கள் வேடிக்கை பார்த்துக் கொண்டிருக்கின்றனர்.,5
479,டொழுபின்கள் நீரில் நீந்துவதை மக்கள் பார்த்து ரசிக்கின்றனர்,மீன்களின் சாகசத்தை மக்கள் பார்வையிடுகின்றனர்,4
480,டொழுபின்கள் நீரில் நீந்துவதை மக்கள் பார்த்து ரசிக்கின்றனர்,நீரில் திமிங்கலங்கள் சாகசம் புரிகின்றன.,0
481,டொழுபின்கள் நீரில் நீந்துவதை மக்கள் பார்த்து ரசிக்கின்றனர்,டொல்பின் குதிப்பதை பார்வையாளர் காண்கின்றனர்,0.666666667
482,டொழுபின்கள் நீரில் நீந்துவதை மக்கள் பார்த்து ரசிக்கின்றனர்,டொல்பின் இன் செல்ல விளையாட்டுக்களை மக்கள் ரசிக்கிறார்கள்.,1
483,டொழுபின்கள் நீரில் நீந்துவதை மக்கள் பார்த்து ரசிக்கின்றனர்,நீர் சாகத்தை பலர் காண்கின்றனர்.,2
484,டொல்பின்கள் துள்ளுகின்றன,டொல்பின்கள் நீரில் துள்ளிக் குதித்து விளையாடுவதை மக்கள் வேடிக்கை பார்த்துக் கொண்டிருக்கின்றனர்.,3.666666667
485,டொல்பின்கள் துள்ளுகின்றன,மீன்களின் சாகசத்தை மக்கள் பார்வையிடுகின்றனர்,3
